Date,Hours,direct_normal,total_skycover,dry_bulb_temp,station_pressure,wind_direction,wind_speed
01/01/2001,1,0,10,0,1008,0,0
01/01/2001,2,0,10,-0.8,1008,60,0.8
01/01/2001,3,0,10,-1.5,1008,140,2
01/01/2001,4,0,10,-0.4,1008,130,1.9
01/01/2001,5,0,10,-0.3,1008,0,0
01/01/2001,6,0,10,-0.2,1008,0,0
01/01/2001,7,0,10,-0.1,1008,180,4.7
01/01/2001,8,0,10,-0.1,1008,50,2.1
01/01/2001,9,0,10,0,1008,200,3.1
01/01/2001,10,0,10,0.1,1008,160,0.9
01/01/2001,11,0,10,0.2,1008,160,6
01/01/2001,12,0,10,-1.7,1008,160,2.9
01/01/2001,13,0,10,-1.6,1008,100,2.8
01/01/2001,14,0,10,-1.6,1008,140,3.2
01/01/2001,15,0,10,-2.5,1008,170,3.7
01/01/2001,16,0,10,-2.4,1008,160,3.6
01/01/2001,17,0,10,-2.3,1008,200,4.6
01/01/2001,18,0,10,-3.2,1008,180,1.9
01/01/2001,19,0,10,-5.1,1008,210,1.4
01/01/2001,20,0,10,-4,1008,220,1.3
01/01/2001,21,0,10,-4,1008,180,1.7
01/01/2001,22,0,10,-4.9,1008,230,1.2
01/01/2001,23,0,10,-3.8,1008,240,0.6
01/01/2001,0,0,10,-7.7,1008,0,0
01/02/2001,1,0,10,-5.6,1008,260,1
01/02/2001,2,0,10,-5.5,1008,0,0
01/02/2001,3,0,10,-5.4,1008,0,0
01/02/2001,4,0,10,-3.4,1008,270,0.3
01/02/2001,5,0,10,-6.3,1008,270,0.2
01/02/2001,6,0,10,-2.2,1008,270,2.6
01/02/2001,7,0,10,-1.1,1008,290,6.2
01/02/2001,8,0,10,-1,1008,270,3.6
01/02/2001,9,0,10,-0.4,1008,260,3.6
01/02/2001,10,0,10,0,1008,260,3.6
01/02/2001,11,0,10,0.1,1008,250,3.6
01/02/2001,12,0,10,0.3,1008,250,3.5
01/02/2001,13,99,8,0.6,1008,240,3.5
01/02/2001,14,0,10,0.6,1008,230,3.5
01/02/2001,15,0,10,0.7,1008,270,8.1
01/02/2001,16,0,10,0.7,1008,220,3.5
01/02/2001,17,0,10,0.6,1008,210,3.5
01/02/2001,18,0,10,0.3,1008,210,3.4
01/02/2001,19,0,10,1.2,1008,200,3.4
01/02/2001,20,0,10,0.8,1008,200,3.6
01/02/2001,21,0,10,1.2,1008,200,3.7
01/02/2001,22,0,10,0.7,1008,190,3.9
01/02/2001,23,0,10,1,1008,190,4.1
01/02/2001,0,0,10,1.2,1008,180,4.2
01/03/2001,1,0,5,1.2,1008,180,4.3
01/03/2001,2,0,10,1.3,1008,180,4.5
01/03/2001,3,0,9,1.2,1008,170,4.6
01/03/2001,4,0,4,1.6,1008,170,4.8
01/03/2001,5,0,3,1.7,1008,170,5
01/03/2001,6,0,3,1.8,1008,160,5.1
01/03/2001,7,0,10,1.6,1008,160,5.2
01/03/2001,8,0,10,1.4,1008,40,5.2
01/03/2001,9,0,10,1.6,1008,70,4.2
01/03/2001,10,0,10,1.7,1008,110,3.2
01/03/2001,11,0,10,1.1,1008,100,3.2
01/03/2001,12,0,10,0.6,1008,100,3.2
01/03/2001,13,0,10,1.1,1008,90,3.1
01/03/2001,14,0,10,1.2,1008,80,3.1
01/03/2001,15,0,10,0.7,1008,80,3.1
01/03/2001,16,0,10,-1,1008,70,3.1
01/03/2001,17,0,10,-1.1,1008,90,2.9
01/03/2001,18,0,10,-1.5,1008,100,2.7
01/03/2001,19,0,10,-0.6,1008,120,2.6
01/03/2001,20,0,10,-1.1,1008,130,2.4
01/03/2001,21,0,10,-0.7,1008,150,2.2
01/03/2001,22,0,10,-1.3,1008,160,2
01/03/2001,23,0,10,-1,1008,180,1.9
01/03/2001,0,0,10,-1,1008,190,1.7
01/04/2001,1,0,10,-1,1008,210,1.5
01/04/2001,2,0,10,-1,1008,0,0
01/04/2001,3,0,10,-1.3,1008,0,0
01/04/2001,4,0,10,-1,1008,0,0
01/04/2001,5,0,10,-1.3,1008,0,0
01/04/2001,6,0,10,-1.3,1008,0,0
01/04/2001,7,0,10,-1.7,1008,0,0
01/04/2001,8,0,10,-0.6,1008,0,0
01/04/2001,9,0,10,-0.7,1008,0,0
01/04/2001,10,0,10,-0.9,1008,0,0
01/04/2001,11,0,10,-0.5,1008,0,0
01/04/2001,12,0,10,0,1008,0,0
01/04/2001,13,0,10,0.1,1008,0,0
01/04/2001,14,0,10,0.2,1008,0,0
01/04/2001,15,0,10,0.3,1008,0,0
01/04/2001,16,0,10,-0.7,1008,0,0
01/04/2001,17,0,10,0.4,1008,0,0
01/04/2001,18,0,10,-0.5,1008,0,0
01/04/2001,19,0,10,0.6,1008,0,0
01/04/2001,20,0,10,0.3,1008,330,2.4
01/04/2001,21,0,10,0.8,1008,30,0.1
01/04/2001,22,0,10,0.8,1008,40,0.4
01/04/2001,23,0,10,0.9,1008,40,0.7
01/04/2001,0,0,10,1,1008,110,3
01/05/2001,1,0,10,1,1008,280,2.3
01/05/2001,2,0,10,1,1008,40,0.7
01/05/2001,3,0,10,1,1008,30,0.6
01/05/2001,4,0,10,1,1008,240,2
01/05/2001,5,0,10,1,1008,130,1.9
01/05/2001,6,0,10,1,1008,150,1.8
01/05/2001,7,0,10,1.5,1008,10,0.2
01/05/2001,8,0,10,2,1008,10,0.1
01/05/2001,9,0,10,2,1008,0,0
01/05/2001,10,0,10,0,1008,0,0
01/05/2001,11,0,10,-1,1008,0,0
01/05/2001,12,18,10,-2.1,1008,0,0
01/05/2001,13,0,10,-3,1008,360,0.1
01/05/2001,14,42,10,-2,1008,360,0.1
01/05/2001,15,38,10,-3,1008,360,0.2
01/05/2001,16,9,10,-5,1008,360,0.2
01/05/2001,17,0,10,-6,1008,360,0.3
01/05/2001,18,0,9,-7,1008,360,0.3
01/05/2001,19,0,9,-6,1008,360,0.4
01/05/2001,20,0,8,-8,1008,360,0.4
01/05/2001,21,0,7,-7,1008,360,0.5
01/05/2001,22,0,6,-7,1008,10,0.5
01/05/2001,23,0,6,-6,1008,10,0.6
01/05/2001,0,0,5,-4,1008,10,0.6
01/06/2001,1,0,4,-2,1008,10,0.7
01/06/2001,2,0,4,0,1008,10,0.7
01/06/2001,3,0,3,-0.9,1008,10,0.8
01/06/2001,4,0,2,-1.2,1008,10,0.8
01/06/2001,5,0,1,-2,1008,10,0.9
01/06/2001,6,0,1,-2.3,1008,10,0.9
01/06/2001,7,0,0,-3,1008,10,1
01/06/2001,8,0,0,-3,1008,10,1
01/06/2001,9,0,2,-6,1008,10,1.1
01/06/2001,10,2,4,-5.1,1008,10,1.1
01/06/2001,11,49,5,-4,1008,10,1.2
01/06/2001,12,82,7,-4,1008,10,1.2
01/06/2001,13,23,9,-3.4,1008,10,1.3
01/06/2001,14,220,3,-3,1008,10,1.2
01/06/2001,15,56,6,-2.7,1008,10,1.1
